"","x"
"Java_Dev_Org",0.0087719298245614
"Java_Dev_Dist_Org",0.0043859649122807
"Java_Dev_Dist_JVM",0.0043859649122807
"Java_Dev_Dist_Python",0.0043859649122807
"Java_Dev_Dist_JavaScript",0.0043859649122807
"Platform_Dev_Org_LRHEL_P",0.473684210526316
"Platform_Dev_Org_LOracle_P",0.539473684210526
"Platform_Dev_Org_LUbuntu_P",0.552631578947368
"Platform_Dev_Org_LSUSE_P",0.666666666666667
"Platform_Dev_Org_LinuxOther_P",0.864035087719298
"Platform_Dev_Org_MacOS_P",0.578947368421053
"Platform_Dev_Org_Solaris_P",0.671052631578947
"Platform_Dev_Org_Windows_P",0.359649122807018
"Use_Org_EclipseIDE",0.219298245614035
"Sat_Org_EclipseIDE",0.302631578947368
"Use_Org_IntelliJIDE",0.285087719298246
"Sat_Org_IntelliJIDE",0.342105263157895
"Use_Org_JDeveloper",0.447368421052632
"Sat_Org_JDeveloper",0.543859649122807
"Use_Org_NetBeansIDE",0.447368421052632
"Sat_Org_NetBeansIDE",0.530701754385965
"Use_Org_RationalAppDev",0.486842105263158
"Sat_Org_RationalAppDev",0.596491228070175
"Use_Org_VisualStudio",0.31140350877193
"Sat_Org_VisualStudio",0.350877192982456
"Use_Org_Other",0.81140350877193
"Sat_Org_Other",0.820175438596491
"Information_Channel_Imp_OWebsites",0.12719298245614
"Information_Channel_Imp_OSalesPros",0.157894736842105
"Information_Channel_Imp_OMarketing",0.166666666666667
"Information_Channel_Imp_Blogs",0.153508771929825
"Information_Channel_Imp_ExtConsultants",0.157894736842105
"Information_Channel_Imp_SocialMedia",0.162280701754386
"Information_Channel_Imp_UserComm",0.162280701754386
"Information_Channel_Imp_IndustryPubs",0.171052631578947
"Information_Channel_Imp_PeerRec",0.149122807017544
"Information_Channel_Imp_Other",0.714912280701754
"OJavaSESubscription_OrgPurch_Imp_StaffExp",0.276315789473684
"OJavaSESubscription_OrgPurch_Imp_PrPerRatio",0.280701754385965
"OJavaSESubscription_OrgPurch_Imp_TotalCost",0.276315789473684
"OJavaSESubscription_OrgPurch_Imp_LargeEcosystem",0.280701754385965
"OJavaSESubscription_OrgPurch_Imp_VendorSupport",0.293859649122807
"OJavaSESubscription_OrgPurch_Imp_InnovationPotential",0.302631578947368
"OJavaSESubscription_OrgPurch_Imp_LowerRisk",0.276315789473684
"OJavaSESubscription_OrgPurch_Imp_RegulatoryCompliance",0.302631578947368
"OJavaSESubscription_OrgPurch_Imp_MarketTrends",0.285087719298246
"OJavaSESubscription_OrgPurch_Imp_Competition",0.298245614035088
"OJavaSESubscription_OrgPurch_Imp_HigherAgility",0.293859649122807
"OJavaSESubscription_OrgPurch_Imp_StrategicImperative",0.289473684210526
"OJavaSESubscription_OrgPurch_Imp_ThoughtLeadership",0.298245614035088
"OJavaSESubscription_OrgPurch_Imp_CompanyPolitics",0.302631578947368
"OJavaSESubscription_OrgPurch_Imp_InnovationContribution",0.293859649122807
"OJavaSESubscription_OrgPurch_Imp_Other",0.81140350877193
